location,city,local,parameter,value,unit
FR15039,Isère,2020-12-19T19:00:00+01:00,pm25,15.6,µg/m³
FR15039,Isère,2020-12-19T19:00:00+01:00,no2,59.6,µg/m³
FR15039,Isère,2020-12-19T18:00:00+01:00,no2,61.2,µg/m³
FR15039,Isère,2020-12-19T18:00:00+01:00,pm25,14.9,µg/m³
FR15039,Isère,2020-12-19T18:00:00+01:00,pm10,43.6,µg/m³
FR15039,Isère,2020-12-19T17:00:00+01:00,pm10,39.8,µg/m³
FR15039,Isère,2020-12-19T17:00:00+01:00,pm25,12.4,µg/m³
FR15039,Isère,2020-12-19T17:00:00+01:00,no2,71.1,µg/m³
FR15039,Isère,2020-12-19T16:00:00+01:00,pm25,11.3,µg/m³
FR15039,Isère,2020-12-19T16:00:00+01:00,no2,58.4,µg/m³
FR15039,Isère,2020-12-19T16:00:00+01:00,pm10,27.9,µg/m³
FR15039,Isère,2020-12-19T15:00:00+01:00,pm25,12.3,µg/m³
FR15039,Isère,2020-12-19T15:00:00+01:00,pm10,26.1,µg/m³
FR15039,Isère,2020-12-19T15:00:00+01:00,no2,54.2,µg/m³
FR15039,Isère,2020-12-19T14:00:00+01:00,pm10,31,µg/m³
FR15039,Isère,2020-12-19T14:00:00+01:00,no2,48,µg/m³
FR15039,Isère,2020-12-19T14:00:00+01:00,pm25,11.9,µg/m³
FR15039,Isère,2020-12-19T13:00:00+01:00,no2,42.2,µg/m³
FR15039,Isère,2020-12-19T13:00:00+01:00,pm25,13,µg/m³
FR15039,Isère,2020-12-19T13:00:00+01:00,pm10,30.3,µg/m³
FR15039,Isère,2020-12-18T17:00:00+01:00,pm25,10.8,µg/m³
FR15039,Isère,2020-12-18T17:00:00+01:00,no2,81.6,µg/m³
FR15039,Isère,2020-12-18T17:00:00+01:00,pm10,44.5,µg/m³
FR15039,Isère,2020-12-18T16:00:00+01:00,pm25,14,µg/m³
FR15039,Isère,2020-12-18T16:00:00+01:00,pm10,32.2,µg/m³
FR15039,Isère,2020-12-18T16:00:00+01:00,no2,65.3,µg/m³
FR15039,Isère,2020-12-18T15:00:00+01:00,pm25,15.3,µg/m³
FR15039,Isère,2020-12-18T15:00:00+01:00,no2,48.8,µg/m³
FR15039,Isère,2020-12-18T15:00:00+01:00,pm10,42.1,µg/m³
FR15039,Isère,2020-12-18T14:00:00+01:00,pm10,43.5,µg/m³
FR15039,Isère,2020-12-18T14:00:00+01:00,no2,60.9,µg/m³
FR15039,Isère,2020-12-18T14:00:00+01:00,pm25,22.8,µg/m³
FR15039,Isère,2020-12-18T13:00:00+01:00,pm10,39.2,µg/m³
FR15039,Isère,2020-12-18T13:00:00+01:00,pm25,24.2,µg/m³
FR15039,Isère,2020-12-18T13:00:00+01:00,no2,57.3,µg/m³
FR15039,Isère,2020-12-18T12:00:00+01:00,pm10,35.6,µg/m³
FR15039,Isère,2020-12-18T12:00:00+01:00,no2,55.2,µg/m³
FR15039,Isère,2020-12-18T12:00:00+01:00,pm25,23.2,µg/m³
FR15039,Isère,2020-12-18T11:00:00+01:00,pm10,32.8,µg/m³
FR15039,Isère,2020-12-18T11:00:00+01:00,pm25,25.1,µg/m³
FR15039,Isère,2020-12-18T11:00:00+01:00,no2,57.4,µg/m³
FR15039,Isère,2020-12-18T10:00:00+01:00,no2,56.1,µg/m³
